Code,Listing Year,Market Category,Electronic Share
1JANATAMF,2010,A,Y
1JANATAMF,2010,A,Y
1STPRIMFMF,2009,A,Y
AAMRANET,2017,A,Y
AAMRATECH,2012,A,Y
ABBANK,1983,B,Y
ABBLPBOND,2023,N,Y
ACI,1976,A,Y
ACIFORMULA,2008,A,Y
ACMELAB,2016,A,Y
ADNTEL,2019,A,Y
ADVENT,2018,B,Y
AFCAGRO,2014,B,Y
AFTABAUTO,1987,A,Y
AGNISYSL,2003,B,Y
AGRANINS,2005,-,Y
AIL,2017,A,Y
AL-HAJTEX,1983,B,Y
ALARABANK,1998,A,Y
ALIF,1997,B,Y
ALLTEX,1996,B,Y
AMANFEED,2015,A,Y
AMBEEPHA,1986,A,Y
AMCL(PRAN),1996,A,Y
ANLIMAYARN,1997,B,Y
ANWARGALV,1996,A,Y
AOL,2020,A,Y
APEXFOODS,1981,A,Y
APEXFOOT,1993,A,Y
APEXSPINN,1994,A,Y
APEXTANRY,1985,A,Y
APOLOISPAT,2013,B,Y
APSCLBOND,2020,A,Y
ARAMIT,1984,A,Y
ARAMITCEM,1998,B,Y
ARGONDENIM,2013,A,Y
ASIAINS,2009,A,Y
ASIAPACINS,2006,A,Y
ATCSLGF,2015,A,Y
AZIZPIPES,1986,B,Y
BANGAS,1984,B,Y
BANKASIA,2004,A,Y
BARKAPOWER,2011,A,Y
BATASHOE,1985,A,Y
BATBC,1977,A,Y
BBS,2013,B,Y
BBSCABLES,2017,A,Y
BDAUTOCA,1988,B,Y
BDCOM,2002,A,Y
BDLAMPS,1981,A,Y
BDTHAI,1990,B,Y
BDTHAIFOOD,2022,B,Y
BDWELDING,1999,Z,Y
BEACHHATCH,2002,B,Y
BENGALWTL,2013,B,Y
BERGERPBL,2006,A,Y
BEXGSUKUK,2022,A,Y
BEXIMCO,1989,A,Y
BGIC,1989,A,Y
BNICL,2016,A,Y
BPML,2018,A,Y
BPPL,2021,A,Y
BRACBANK,2007,A,Y
BSC,1977,A,Y
BSRMLTD,2015,A,Y
BSRMSTEEL,2009,A,Y
BXPHARMA,1986,A,Y
CAPMBDBLMF,2017,A,Y
CAPMIBBLMF,2018,A,Y
CENTRALINS,1995,A,Y
