Trading Code,Month,Sponsor,Govt,Institute,Foreign,Public
1JANATAMF,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          25.00","
                          0.00","
                          34.50","
                          0.00","
                          40.50"
1JANATAMF,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          25.00","
                          0.00","
                          34.97","
                          0.00","
                          40.03"
1JANATAMF,"Share Holding Percentage
                    [as on May 31, 2023]","
                          25.00","
                          0.00","
                          34.94","
                          0.00","
                          40.06"
1JANATAMF,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          25.00","
                          0.00","
                          34.50","
                          0.00","
                          40.50"
1JANATAMF,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          25.00","
                          0.00","
                          34.97","
                          0.00","
                          40.03"
1JANATAMF,"Share Holding Percentage
                    [as on May 31, 2023]","
                          25.00","
                          0.00","
                          34.94","
                          0.00","
                          40.06"
1STPRIMFMF,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          2.00","
                          0.00","
                          12.61","
                          0.01","
                          85.38"
1STPRIMFMF,"Share Holding Percentage
                    [as on May 31, 2023]","
                          2.00","
                          0.00","
                          18.26","
                          0.01","
                          79.73"
AAMRANET,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          33.04","
                          0.00","
                          28.73","
                          0.00","
                          38.23"
AAMRANET,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          33.04","
                          0.00","
                          20.15","
                          0.00","
                          46.81"
AAMRANET,"Share Holding Percentage
                    [as on May 31, 2023]","
                          33.04","
                          0.00","
                          21.69","
                          0.00","
                          45.27"
AAMRATECH,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          30.01","
                          0.00","
                          27.96","
                          0.00","
                          42.03"
AAMRATECH,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          30.01","
                          0.00","
                          35.34","
                          0.00","
                          34.65"
AAMRATECH,"Share Holding Percentage
                    [as on May 31, 2023]","
                          30.01","
                          0.00","
                          33.25","
                          0.00","
                          36.74"
ABBANK,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          31.67","
                          0.57","
                          22.83","
                          0.79","
                          44.14"
ABBANK,"Share Holding Percentage
                    [as on May 31, 2023]","
                          31.67","
                          0.57","
                          22.82","
                          0.79","
                          44.15"
ACI,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          35.28","
                          0.00","
                          40.75","
                          0.00","
                          23.97"
ACI,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          36.07","
                          0.00","
                          41.07","
                          0.00","
                          22.86"
ACI,"Share Holding Percentage
                    [as on May 31, 2023]","
                          36.07","
                          0.00","
                          41.07","
                          0.00","
                          22.86"
ACIFORMULA,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          66.02","
                          0.00","
                          17.96","
                          0.00","
                          16.02"
ACIFORMULA,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          66.02","
                          0.00","
                          20.61","
                          0.00","
                          13.37"
ACIFORMULA,"Share Holding Percentage
                    [as on May 31, 2023]","
                          66.02","
                          0.00","
                          19.94","
                          0.00","
                          14.04"
ACMELAB,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          39.83","
                          0.00","
                          31.05","
                          0.13","
                          28.99"
ACMELAB,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          39.88","
                          0.00","
                          30.32","
                          0.14","
                          29.66"
ACMELAB,"Share Holding Percentage
                    [as on May 31, 2023]","
                          39.88","
                          0.00","
                          30.04","
                          0.14","
                          29.94"
ADNTEL,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          51.56","
                          0.00","
                          16.57","
                          1.99","
                          29.88"
ADNTEL,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          44.91","
                          0.00","
                          16.71","
                          1.99","
                          36.39"
ADNTEL,"Share Holding Percentage
                    [as on May 31, 2023]","
                          44.91","
                          0.00","
                          18.74","
                          1.99","
                          34.36"
ADVENT,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          30.02","
                          0.00","
                          23.55","
                          0.00","
                          46.43"
ADVENT,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          30.02","
                          0.00","
                          18.71","
                          0.00","
                          51.27"
ADVENT,"Share Holding Percentage
                    [as on May 31, 2023]","
                          30.02","
                          0.00","
                          25.60","
                          0.00","
                          44.38"
AFCAGRO,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          30.29","
                          0.00","
                          36.51","
                          0.00","
                          33.20"
AFCAGRO,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          27.84","
                          0.00","
                          35.96","
                          0.00","
                          36.20"
AFCAGRO,"Share Holding Percentage
                    [as on May 31, 2023]","
                          27.84","
                          0.00","
                          35.96","
                          0.00","
                          36.20"
AFTABAUTO,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          30.00","
                          0.00","
                          36.73","
                          0.00","
                          33.27"
AFTABAUTO,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          29.32","
                          0.00","
                          36.58","
                          0.00","
                          34.10"
AFTABAUTO,"Share Holding Percentage
                    [as on May 31, 2023]","
                          29.32","
                          0.00","
                          37.26","
                          0.00","
                          33.42"
AGNISYSL,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          32.76","
                          0.00","
                          10.91","
                          0.00","
                          56.33"
AGNISYSL,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          32.76","
                          0.00","
                          10.06","
                          0.00","
                          57.18"
AGNISYSL,"Share Holding Percentage
                    [as on May 31, 2023]","
                          32.76","
                          0.00","
                          7.73","
                          0.00","
                          59.51"
AGRANINS,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          30.15","
                          0.00","
                          16.02","
                          0.00","
                          53.83"
AGRANINS,"Share Holding Percentage
                    [as on May 31, 2023]","
                          30.15","
                          0.00","
                          17.47","
                          0.00","
                          52.38"
AIL,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          33.35","
                          0.00","
                          11.22","
                          0.00","
                          55.43"
AIL,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          33.35","
                          0.00","
                          14.61","
                          0.00","
                          52.04"
AIL,"Share Holding Percentage
                    [as on May 31, 2023]","
                          33.35","
                          0.00","
                          25.09","
                          0.00","
                          41.56"
AL-HAJTEX,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          25.63","
                          0.01","
                          19.96","
                          0.00","
                          54.40"
AL-HAJTEX,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          25.63","
                          0.01","
                          16.46","
                          0.00","
                          57.90"
AL-HAJTEX,"Share Holding Percentage
                    [as on May 31, 2023]","
                          25.63","
                          0.01","
                          16.67","
                          0.00","
                          57.69"
ALARABANK,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          42.37","
                          0.00","
                          30.38","
                          0.45","
                          26.80"
ALARABANK,"Share Holding Percentage
                    [as on May 31, 2023]","
                          45.46","
                          0.00","
                          27.42","
                          0.45","
                          26.67"
ALIF,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          30.46","
                          0.00","
                          7.80","
                          0.00","
                          61.74"
ALIF,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          30.46","
                          0.00","
                          4.14","
                          0.00","
                          65.40"
ALIF,"Share Holding Percentage
                    [as on May 31, 2023]","
                          30.46","
                          0.00","
                          4.47","
                          0.00","
                          65.07"
ALLTEX,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          40.74","
                          0.00","
                          11.64","
                          0.00","
                          47.62"
ALLTEX,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          40.74","
                          0.00","
                          6.43","
                          0.00","
                          52.83"
ALLTEX,"Share Holding Percentage
                    [as on May 31, 2023]","
                          40.74","
                          0.00","
                          6.44","
                          0.00","
                          52.82"
AMANFEED,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          63.26","
                          0.00","
                          10.33","
                          0.05","
                          26.36"
AMANFEED,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          63.26","
                          0.00","
                          7.87","
                          0.05","
                          28.82"
AMANFEED,"Share Holding Percentage
                    [as on May 31, 2023]","
                          63.26","
                          0.00","
                          10.26","
                          0.05","
                          26.43"
AMBEEPHA,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]","
                          75.25","
                          0.00","
                          9.63","
                          0.00","
                          13.12"
AMBEEPHA,"Share Holding Percentage
                    [as on Apr 30, 2023]","
                          77.25","
                          0.00","
                          6.70","
                          0.00","
                          16.05"
