Code,Company Name,Trading Code,Scrip Code,Sector
1JANATAMF,First Janata Bank Mutual Fund,1JANATAMF,12178,Mutual Funds
1JANATAMF,First Janata Bank Mutual Fund,1JANATAMF,12178,Mutual Funds
1STPRIMFMF,Prime Finance First Mutual Fund,1STPRIMFMF,12168,Mutual Funds
AAMRANET,aamra networks limited,AAMRANET,22649,IT Sector
AAMRATECH,aamra technologies limited,AAMRATECH,22647,IT Sector
ABBANK,AB Bank Limited,ABBANK,11101,Bank
ABBLPBOND,AB Bank Perpetual Bond,ABBLPBOND,26013,Corporate Bond
ACI,ACI  Limited,ACI,18455,Pharmaceuticals & Chemicals
ACIFORMULA,ACI Formulations Limited,ACIFORMULA,18480,Pharmaceuticals & Chemicals
ACMELAB,The ACME Laboratories Limited,ACMELAB,18491,Pharmaceuticals & Chemicals
ADNTEL,ADN Telecom Limited,ADNTEL,22651,IT Sector
ADVENT,Advent Pharma Limited,ADVENT,18492,Pharmaceuticals & Chemicals
AFCAGRO,AFC Agro Biotech Ltd.,AFCAGRO,18489,Pharmaceuticals & Chemicals
AFTABAUTO,Aftab Automobiles Limited,AFTABAUTO,13201,Engineering
AGNISYSL,Agni Systems Ltd.,AGNISYSL,22645,IT Sector
AGRANINS,Agrani Insurance Co. Ltd.,AGRANINS,25722,Insurance
AIL,Alif Industries Limited,AIL,17436,Textile
AL-HAJTEX,Al-Haj Textile Mills Limited,AL-HAJTEX,17401,Textile
ALARABANK,Al-Arafah Islami Bank Ltd,ALARABANK,11115,Bank
ALIF,Alif Manufacturing Company Ltd.,ALIF,17444,Textile
ALLTEX,Alltex Industries Ltd.,ALLTEX,17440,Textile
AMANFEED,Aman Feed Limited,AMANFEED,99641,Miscellaneous
AMBEEPHA,Ambee Pharmaceuticals  Ltd.,AMBEEPHA,18451,Pharmaceuticals & Chemicals
AMCL(PRAN),Agricultural Marketing Company Ltd. (Pran),AMCL(PRAN),14277,Food & Allied
ANLIMAYARN,Anlimayarn Dyeing Ltd.,ANLIMAYARN,17441,Textile
ANWARGALV,Anwar Galvanizing Ltd.,ANWARGALV,13221,Engineering
AOL,Associated Oxygen Limited,AOL,15321,Fuel & Power
APEXFOODS,Apex Foods Limited,APEXFOODS,14254,Food & Allied
APEXFOOT,Apex Footwear Limited.,APEXFOOT,23619,Tannery Industries
APEXSPINN,Apex Spinning & Knitting Mills Limited,APEXSPINN,17421,Textile
APEXTANRY,Apex Tannery Limited,APEXTANRY,23601,Tannery Industries
APOLOISPAT,Appollo Ispat Complex Limited,APOLOISPAT,13233,Engineering
APSCLBOND,APSCL Non-Convertible and Fully Redeemable Coupon Bearing Bond,APSCLBOND,26004,Corporate Bond
ARAMIT,Aramit Limited,ARAMIT,99602,Miscellaneous
ARAMITCEM,Aramit Cement Limited,ARAMITCEM,21633,Cement
ARGONDENIM,Argon Denims Limited,ARGONDENIM,17456,Textile
ASIAINS,Asia Insurance Limited,ASIAINS,25740,Insurance
ASIAPACINS,Asia Pacific General Insurance Co. Ltd.,ASIAPACINS,25729,Insurance
ATCSLGF,Asian Tiger Sandhani Life Growth Fund,ATCSLGF,12195,Mutual Funds
AZIZPIPES,Aziz Pipes Ltd.,AZIZPIPES,13202,Engineering
BANGAS,Bangas Ltd.,BANGAS,14257,Food & Allied
BANKASIA,Bank Asia Ltd.,BANKASIA,11127,Bank
